종목코드,종목명,현재가,등락률,거래대금_억
027360,아주IB투자,4510,29.97,1223.10053508
001510,SK증권,894,29.94,613.26686068
215600,신라젠,4975,29.9,798.94365229
100790,미래에셋벤처투자,19200,28.95,2946.55980685
033240,자화전자,29050,27.13,683.8619625
274090,켄코아에어로스페이스,29850,23.86,2310.3155885
189300,인텔리안테크,105200,20.92,840.4054675
383310,에코프로에이치엔,44050,20.85,1259.316096
478340,나라스페이스테크놀로지,58500,19.14,2861.0031005
099320,쎄트렉아이,178100,18.73,1146.6263545
085660,차바이오텍,23850,18.36,789.55422225
100840,SNT에너지,47100,17.6,1177.7878405
006800,미래에셋증권,40850,17.39,7568.13186525
009470,삼화전기,51500,16.91,717.29287675
069540,빛과전자,1680,16.75,652.88166411
340930,유일에너테크,1550,15.5,674.40473043
010170,대한광통신,3840,15.49,2135.72795289
232680,라온로보틱스,18860,15.0,1755.26030085
347700,스피어,25800,14.92,1373.75921125
060720,KH바텍,16610,14.55,1540.14151135
462350,이노스페이스,22900,13.37,644.875491
042700,한미반도체,203500,11.81,14365.705841
001200,유진투자증권,4310,11.66,686.29550247
264850,이랜시스,9000,11.39,959.318172
214150,클래시스,75600,11.34,1080.788785
218410,RFHIC,49350,10.77,559.06232175
417010,나노팀,11070,10.7,875.9935565
417200,LS머트리얼즈,16600,10.67,1144.7063624
474170,루미르,15160,10.66,699.1919269
178320,서진시스템,38200,10.4,776.87813375
000250,삼천당제약,485000,10.35,2642.7686575
462860,더즌,5300,10.3,576.68552133
060250,NHN KCP,23650,10.0,1439.94014625
307950,현대오토에버,484000,9.75,3751.1589375
071050,한국금융지주,221500,9.38,741.3118825
277810,레인보우로보틱스,760000,9.35,5857.741975
054920,한컴위드,6330,9.33,1416.46119395
357780,솔브레인,450000,9.09,569.6171925
295310,에이치브이엠,91700,8.91,832.550671
036540,SFA반도체,6860,8.89,793.93497335
024060,흥구석유,14130,8.86,1326.1207742
010130,고려아연,1959000,8.77,2173.90907
083650,비에이치아이,79000,8.67,1665.2218545
048410,현대바이오,10100,8.6,871.9963898
003530,한화투자증권,6610,8.54,1183.8906469
006260,LS,236500,7.99,788.46064
039490,키움증권,426000,7.85,1142.96451359
089030,테크윙,47600,7.81,1469.998086
095610,테스,72000,7.78,1471.674878
065350,신성델타테크,77900,7.45,530.5414885
247540,에코프로비엠,246000,7.42,8225.99376
950160,코오롱티슈진,104300,7.3,1372.2433825
005380,현대차,528000,7.21,27819.14345476
0015G0,그린광학,34000,7.09,507.012119
108490,로보티즈,328500,7.0,4652.0279075
240810,원익IPS,111000,6.32,2302.4334855
086280,현대글로비스,255500,6.24,2157.5164525
005290,동진쎄미켐,51400,6.09,1340.8239905
034730,SK,324000,6.06,1364.24227
451760,컨텍,21950,6.04,545.64603
058470,리노공업,92100,5.98,2189.633073
458650,성우,13540,5.86,938.31184715
211270,AP위성,20050,5.75,847.2065624
087010,펩트론,334500,5.69,1689.279895
257720,실리콘투,54200,5.65,880.982855
006730,서부T&D,15800,5.47,524.38920835
095340,ISC,138700,5.4,661.448202
402340,SK스퀘어,531000,5.36,4488.14728981
084370,유진테크,107500,5.19,837.220632
005387,현대차2우B,286000,5.15,1237.047345
310210,보로노이,229000,5.05,501.7102075
096770,SK이노베이션,113500,4.9,1021.6688555
000880,한화,119000,4.85,781.486106
001440,대한전선,28300,4.81,1870.93624025
030530,원익홀딩스,43100,4.74,1458.6536975
005385,현대차우,282000,4.64,977.0930625
058610,에스피지,158100,4.36,3209.0274065
290650,엘앤씨바이오,78000,4.28,702.3515055
272210,한화시스템,92800,4.27,2778.204872
090430,아모레퍼시픽,139500,4.18,911.647892
103140,풍산,129500,3.93,749.9121365
016360,삼성증권,91700,3.85,719.430753
214450,파마리서치,534000,3.69,1762.59257
298830,슈어소프트테크,9300,3.68,505.00507215
064260,다날,9310,3.67,1518.93130175
052690,한전기술,138800,3.66,1313.3493925
000270,기아,154900,3.47,3856.95433597
490470,세미파이브,30100,3.44,1035.78146525
006910,보성파워텍,8130,3.44,549.54661
