,종목명,기간 수익률,,,기간 내 최고수익률,검색시점 거래량,기타
,,1개월,3개월,3주,,,
,현대건설,"","","","+14.49%","10,105,765",""
,현대건설우,"","","","+4.73%","80,192",""
,금호전기,"","","","+44.19%","26,374,840",""
,세아베스틸지주,"","","","+0.73%","906,328",""
,그린광학,"","","","+0.91%","8,737,776",""
,페스카로,"","","","+8.17%","4,588,439",""
,피에스텍,"","","","+26.06%","997,999",""
,금호건설,"","","","+0.35%","153,663",""
,포스코퓨처엠,"","","","+4.26%","624,112",""
,한국공항,"","","","+1.06%","19,497",""
,피제이전자,"","","","+5.73%","11,209,740",""
,대한유화,"","","","+14.29%","73,325",""
,TIGER 차이나AI소프트,"","","","+3.78%","250,557",""
,코리아써키트,"","","","+25.05%","466,895",""
,TIGER 코리아원자력,"","","","+10.67%","4,423,075",""
,SOL 한국원자력SMR,"","","","+10.22%","533,576",""
,아진전자부품,"","","","+3.75%","1,129,755",""
,KODEX K원자력SMR,"","","","+9.35%","1,405,085",""
,한국무브넥스,"","","","+2.99%","7,375,834",""
,금호석유화학,"","","","+5.09%","419,965",""
,금호석유화학우,"","","","+3.32%","47,617",""
,계양전기우,"","","","+0.17%","311,870",""
,삼미금속,"","","","0%","3,370,718",""
,아진산업,"","","","+9.87%","1,706,278",""
,THE CUBE&,"","","","+19.27%","2,821,949",""
,성문전자,"","","","0%","9,383,614",""
,성문전자우,"","","","0%","91,291",""
,광명전기,"","","","+9.23%","859,635",""
,DS단석,"","","","0%","1,081,389",""
,한국큐빅,"","","","0%","139,054",""
,태광,"","","","+7.09%","1,835,054",""
,에쓰씨엔지니어링,"","","","0%","1,126,973",""
,흥구석유,"","","","+9.18%","6,513,078",""
,아주IB투자,"","","","0%","5,730,391",""
,HLB,"","","","0%","979,386",""
,모아텍,"","","","+13.10%","57,262",""
,좋은사람들,"","","","0%","5,082,803",""
,피노,"","","","0%","709,792",""
,에이치엠넥스,"","","","0%","23,906,210",""
,심텍홀딩스,"","","","+7.36%","388,946",""
,바이오스마트,"","","","+2.61%","3,891,902",""
,크레오에스지,"","","","0%","1,678,378",""
,한화오션,"","","","+2.88%","9,140,134",""
,성호전자,"","","","+8.55%","3,879,216",""
,태웅,"","","","+0.69%","394,323",""
,초록뱀미디어,"","","","0%","5,461,043",""
,HLB제약,"","","","0%","341,796",""
,현대바이오,"","","","+10.09%","1,250,181",""
,인탑스,"","","","+5.24%","891,337",""
,비케이홀딩스,"","","","0%","1,788,504",""
,지어소프트,"","","","0%","687,644",""
,코나아이,"","","","0%","189,819",""
,아이톡시,"","","","+29.96%","1,891,543",""
,한미글로벌,"","","","0%","241,604",""
,키이스트,"","","","0%","174,180",""
,한주에이알티,"","","","+11.90%","177,857",""
,아진엑스텍,"","","","+50.94%","666,351",""
,해성에어로보틱스,"","","","+5.59%","5,676,106",""
,제이케이시냅스,"","","","0%","33,988",""
,KH바텍,"","","","+5.59%","2,788,214",""
,HL홀딩스,"","","","+0.33%","81,082",""
,아이로보틱스,"","","","+1.41%","5,795,077",""
,조이시티,"","","","0%","8,217,807",""
,빛과전자,"","","","0%","86,189,753",""
,유엔젤,"","","","+1.90%","212,327",""
,한양디지텍,"","","","+9.11%","252,214",""
,가온그룹,"","","","+6.80%","639,292",""
,인베니아,"","","","+0.17%","441,146",""
,티플랙스,"","","","0%","678,551",""
,동양생명,"","","","0%","240,930",""
,한화엔진,"","","","0%","4,221,900",""
,이월드,"","","","+0.94%","1,220,596",""
,네오티스,"","","","+4.92%","1,126,842",""
,현대글로비스,"","","","+9.24%","1,097,374",""
,에코프로,"","","","+3.73%","3,085,608",""
,이수앱지스,"","","","0%","777,889",""
,이녹스,"","","","0%","381,210",""
,넥스턴앤롤코리아,"","","","+2.11%","122,962",""
,쎄트렉아이,"","","","+1.38%","616,068",""
,우림피티에스,"","","","+2.27%","8,603,299",""
,에스앤에스텍,"","","","+12.71%","2,067,603",""
,우진,"","","","+1.67%","3,526,282",""
,파인테크닉스,"","","","0%","873,457",""
,디에스케이,"","","","+1.58%","84,968",""
,HLB테라퓨틱스,"","","","0%","971,489",""
,알파칩스,"","","","+29.44%","38,120",""
,포메탈,"","","","0%","15,182,549",""
,아이텍,"","","","+3.98%","687,853",""
,코오롱인더,"","","","+9.28%","254,182",""
,삼기,"","","","+31.84%","7,629,968",""
,아이티센글로벌,"","","","+3.06%","504,462",""
,비나텍,"","","","+5.66%","130,074",""
,아시아경제,"","","","+3.20%","3,240,063",""
,티피씨글로벌,"","","","+11.38%","712,615",""
,화인베스틸,"","","","0%","439,694",""
,TIGER 200 건설,"","","","+8.45%","619,855",""
,알에스오토메이션,"","","","+18.98%","1,419,497",""
,KODEX 은선물(H),"","","","+7.37%","10,253,893",""
,뉴파워프라즈마,"","","","0%","1,025,724",""
,코아스템켐온,"","","","0%","1,424,341",""
,서진시스템,"","","","+2.59%","851,983",""
,서전기전,"","","","+13.92%","158,809",""
,한주라이트메탈,"","","","+29.93%","479,401",""
,케이엔알시스템,"","","","+23.75%","394,903",""
,에이팩트,"","","","+7.87%","2,096,011",""
,넥써쓰,"","","","+6.81%","222,717",""
,와이제이링크,"","","","0%","5,826,972",""
,캔버스엔,"","","","+0.34%","4,792,788",""
,금호에이치티,"","","","0%","3,000,032",""
,러셀,"","","","0%","13,544,582",""
,타이거일렉,"","","","+13.17%","47,034",""
,디와이디,"","","","+23.79%","231,237",""
,심텍,"","","","+11.11%","1,810,333",""
,드림씨아이에스,"","","","0%","1,623,451",""
,케이엠제약,"","","","+0.77%","2,745,799",""
,피엔에이치테크,"","","","+2.23%","3,554,062",""
,두산밥캣,"","","","0%","782,923",""
,에이스토리,"","","","0%","1,223,543",""
,신흥에스이씨,"","","","+6.22%","286,153",""
,TIGER 200에너지화학,"","","","+13.57%","52,779",""
,에코프로비엠,"","","","+2.91%","621,211",""
,브이원텍,"","","","+13.58%","349,936",""
,HD현대,"","","","+4.61%","426,434",""
,HD현대건설기계,"","","","0%","442,444",""
,앱튼,"","","","0%","5,414,239",""
,이녹스첨단소재,"","","","0%","3,151,663",""
,HLB바이오스텝,"","","","0%","414,658",""
,SV인베스트먼트,"","","","+9.33%","3,332,032",""
,액트로,"","","","+19.83%","1,103,092",""
,압타머사이언스,"","","","+29.43%","1,241,912",""
,에이치브이엠,"","","","+2.58%","693,442",""
,효성중공업,"","","","+15.90%","147,948",""
,더블유에스아이,"","","","0%","12,876,958",""
,한일시멘트,"","","","0%","177,971",""
,비투엔,"","","","0%","1,202,481",""
,TS트릴리온,"","","","+23.44%","62,082,783",""
,그래피,"","","","+9.01%","1,382,271",""
,셀바이오휴먼텍,"","","","0%","20,919",""
,센서뷰,"","","","+10.83%","16,375,405",""
,PS일렉트로닉스,"","","","0%","8,971,019",""
,진시스템,"","","","+9.60%","176,612",""
,성일하이텍,"","","","+2.52%","73,542",""
,브이씨,"","","","0%","15,242",""
,파이버프로,"","","","0%","989,608",""
,HEM파마,"","","","+7.31%","44,354",""
,로킷헬스케어,"","","","0%","836,849",""
,화승알앤에이,"","","","+3.60%","452,044",""
,옵티코어,"","","","+27.81%","4,951,114",""
,지아이텍,"","","","+11.79%","2,343,319",""
,범한퓨얼셀,"","","","+2.38%","195,144",""
,유디엠텍,"","","","0%","2,037,561",""
,꿈비,"","","","0%","400,919",""
,스튜디오미르,"","","","0%","5,927,678",""
,TIGER 2차전지TOP10레,"","","","+14.30%","4,635,379",""
,저스템,"","","","+1.68%","832,700",""
,제이오,"","","","+1.36%","261,329",""
,벨로크,"","","","0%","518,619",""
,마이크로투나노,"","","","+18.77%","163,368",""
,ACE 원자력TOP10,"","","","+9.53%","250,840",""
,한국피아이엠,"","","","+17.93%","588,631",""
,KODEX 2차전지산업레,"","","","+11.96%","51,363,022",""
,이노스페이스,"","","","0%","8,281,080",""
,에스오에스랩,"","","","+16.84%","4,364,782",""
,RF시스템즈,"","","","+3.67%","821,648",""
,링크솔루션,"","","","+2.41%","2,018,914",""
,엔알비,"","","","+3.67%","343,902",""
,나라스페이스테크놀로,"","","","0%","1,996,746",""
,티엑스알로보틱스,"","","","+10.71%","3,042,591",""
,엠앤씨솔루션,"","","","+1.01%","58,725",""
,비츠로넥스텍,"","","","+1.61%","1,561,625",""
,리브스메드,"","","","+2.83%","4,888,882",""
,테라뷰,"","","","+3.28%","12,105,792",""
,신한 인버스2X 천연가,"","","","+1.04%","16,905",""
,신한 레버리지 은 선,"","","","+14.61%","82,044",""
,미래에셋 레버리지 미,"","","","+10.13%","2,763",""
,미래에셋 -1.5X 천연,"","","","+1.51%","53,127",""
,미래에셋 인버스 천연,"","","","+0.96%","93,895",""
,미래에셋 레버리지 은,"","","","+14.64%","71,953",""
,삼성 은 선물 ETN(H),"","","","+7.38%","25,362",""
,삼성 레버리지 일본니,"","","","+1.84%","604",""
,삼성 인버스 2X 천연,"","","","+0.43%","274,325",""
,삼성 KRX 레버리지 2,"","","","+13.45%","7,938",""
,삼성 레버리지 은 선,"","","","+13.98%","62,928",""
,N2 레버리지 은 선물,"","","","+15.43%","3,346",""
,N2 인버스 2X 천연가,"","","","+0.65%","688",""
,한투 은 선물 ETN,"","","","+7.92%","8,173",""
,한투 레버리지 은 선,"","","","+14.54%","11,382",""
,한투 레버리지 플래티,"","","","+2.80%","3,435",""
,한투 레버리지 구리,"","","","+3.95%","4,765",""
,한투 레버리지일본니,"","","","+1.89%","362",""
,한투 인버스2X천연가,"","","","+0.29%","85,564",""
,KB 인버스 천연가스,"","","","+1.14%","79,924",""
,KB 레버리지 은 선물,"","","","+14.17%","20,027",""
,KB 레버리지 2차전지,"","","","+14.56%","145",""
,KB 인버스 2X 천연가,"","","","+1.56%","44,823",""
,KB 레버리지 화웨이,"","","","0%","102",""
,메리츠 레버리지 은,"","","","+16.47%","4,781",""
,메리츠 -2X 천연가스,"","","","0%","7,462",""
,하나 인버스 2X 천연,"","","","+0.14%","13,292",""
,키움 레버리지 2차전,"","","","+11.76%","11,471",""
