분,신,종목명,현재가,시가,고가,저가,등락률,종목코드
,,그린광학,"27,800","27,400","29,050","26,650","6.31",'0015G0
,,현대약품,"13,190","11,330","13,720","11,300","24.91",'004310
경,,모베이스전자,"5,680","5,680","5,680","4,570","29.98",'012860
증,,네패스,"16,120","16,600","17,080","16,080","3.27",'033640
신,,SFA반도체,"5,510","5,800","5,800","5,460","0.73",'036540
,,유진로봇,"25,550","22,700","27,350","22,650","18.84",'056080
신,,제주반도체,"30,850","32,600","32,650","30,550","",'080220
증,,차바이오텍,"14,890","14,720","15,490","13,800","5.23",'085660
신,,테스,"50,700","52,600","52,600","50,000","1.00",'095610
신,,에스앤에스텍,"59,200","62,200","62,200","58,500","-1.00",'101490
신,,하나머티리얼즈,"54,800","56,000","56,400","53,300","2.43",'166090
신,,코미코,"99,000","100,400","104,000","97,000","3.02",'183300
신,,에이디테크놀로지,"32,200","33,650","33,750","31,100","2.71",'200710
신,,슈어소프트테크,"8,270","9,070","9,070","8,220","-4.39",'298830
신,,현대힘스,"19,450","21,200","21,200","19,380","-0.26",'460930
신,,클로봇,"67,000","70,900","74,000","64,400","7.03",'466100
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
,,,"","","","","",
