,종목명,기간 수익률,,,기간 내 최고수익률,검색시점 거래량,기타
,,1개월,3개월,3주,,,
,유한양행,"-8.79%","-20.33%","-10.46%","0%","2,167,756","-5.74"
,삼천당제약,"+10.76%","-3.38%","+4.98%","+13.09%","324,104","11.62"
,대한전선,"+4.28%","-10.69%","+0.16%","+12.83%","6,775,679","-4.67"
,범양건영,"+3.35%","-45.95%","-23.04%","+2.65%","15,536,563","-24.86"
,대원전선,"-13.41%","-32.21%","-16.54%","+0.25%","130,308,723","-23.31"
,일신석재,"-10.77%","-4.14%","-20.08%","0%","23,564,532","-16.77"
,이건산업,"-23.44%","-26.07%","-26.35%","0%","8,264,271","-27.60"
,한화에어로스페이스,"+30.47%","+96.97%","-0.76%","+4.05%","426,904","77.24"
,대영포장,"+13.75%","+47.78%","+10.29%","+68.67%","40,529,188","7.44"
,세명전기,"-15.24%","-9.76%","-12.13%","0%","10,729,131","-14.50"
,KBI메탈,"-7.19%","-15.81%","-13.53%","+1.48%","25,651,112","-15.90"
,제룡전기,"-14.71%","-40.10%","-4.31%","+19.61%","1,874,099","-24.80"
,에스피지,"+7.41%","-23.62%","+7.59%","+7.93%","1,780,104","-11.38"
,산일전기,"+5.22%","-25.25%","+6.53%","+18.43%","822,236","-7.26"
,현대로템,"+44.22%","+83.94%","+2.71%","+6.86%","1,097,651","56.50"
,전진건설로봇,"+47.33%","-4.20%","-17.37%","+5.56%","5,786,986","17.37"
,그린케미칼,"-12.48%","+2.55%","-15.54%","0%","14,293,246","-14.90"
,비에이치아이,"+29.80%","+5.01%","+21.65%","+36.79%","4,158,902","18.16"
,KB금융,"-11.09%","-15.79%","-0.56%","+2.69%","1,407,611","-12.77"
,KODEX 인버스,"-3.01%","+0.43%","+1.83%","+1.83%","15,385,053","-1.29"
,메리츠금융지주,"+4.58%","+2.20%","+2.11%","+4.67%","542,505","8.07"
,제룡산업,"-15.39%","-27.55%","-17.34%","+0.13%","11,609,005","-23.42"
,하이젠알앤엠,"+43.43%","+23.64%","+65.86%","+65.86%","3,518,682","25.45"
,제일일렉트릭,"-6.82%","-35.86%","-4.18%","+7.98%","21,047,685","-18.67"
,삼성바이오로직스,"+16.50%","+3.26%","+8.20%","+8.20%","49,168","10.67"
,링크제니시스,"+9.36%","-16.91%","+11.82%","+34.15%","8,856,614","-5.58"
,KODEX 코스닥150선물,"-7.23%","+0.75%","-1.00%","0%","32,511,551","-7.11"
,KODEX 200선물인버스2,"-6.21%","-1.24%","+3.52%","+3.52%","97,574,757","-3.73"
,레인보우로보틱스,"+58.79%","+15.90%","+29.50%","+29.50%","724,247","44.35"
,에스와이스틸텍,"-8.53%","-43.47%","-26.39%","0%","7,100,897","-31.05"
,이엔셀,"-19.20%","-33.55%","-19.06%","0%","3,867,741","-11.95"
,우진엔텍,"+3.06%","-21.33%","+4.34%","+17.09%","4,104,287","-5.56"
,클로봇,"+42.76%","+56.49%","-2.09%","+1.26%","18,339,067","29.79"
,씨메스,"+38.07%","-7.39%","+10.61%","+10.61%","3,708,071","10.98"
