종목코드,종목명,현재가,등락률,거래대금_억
306040,에스제이그룹,10660,30.0,127.03893585
389140,포바이포,8670,29.99,241.20527065
092780,DYP,7890,29.98,224.21130985
012860,모베이스전자,5680,29.98,1559.92296131
377220,프롬바이오,1544,29.97,156.34266097
45226K,한화갤러리아우,10470,29.9,548.6745168
050110,캠시스,517,29.9,80.6803884
012170,아센디오,2350,29.76,137.29161552
239340,이스트에이드,2180,29.76,119.96496348
348340,뉴로메카,71900,27.71,3162.2757375
004310,현대약품,13190,24.91,3425.35030505
317240,TS트릴리온,595,23.96,435.57815958
002230,피에스텍,13930,23.71,446.319125
049180,셀루메드,1818,22.67,415.24990438
380540,옵티코어,3355,20.47,413.02144741
001210,금호전기,1204,20.4,81.70395884
056080,유진로봇,25550,18.84,2831.0158815
003310,대주산업,3885,17.55,653.76100642
032820,우리기술,4725,17.1,2835.90928504
200880,서연이화,16210,15.05,1178.61481235
217330,싸이토젠,8980,14.83,243.01898605
090710,휴림로봇,12810,14.68,6941.8063217
010690,화신,9650,13.66,634.84013725
047040,대우건설,4500,13.35,952.97049335
014950,삼익제약,19340,12.97,1904.6866107
038500,삼표시멘트,5290,11.96,1005.80299401
052690,한전기술,126700,11.73,3308.8500225
457370,한켐,10260,11.52,496.2063649
236810,엔비티,2195,11.42,142.1352811
048410,현대바이오,5890,10.51,201.0600468
078890,가온그룹,6440,10.46,103.3038966
067900,와이엔텍,7090,10.26,89.96806365
010130,고려아연,1585000,10.22,2240.454815
196170,알테오젠,518000,10.1,11797.2529025
000250,삼천당제약,279000,10.06,1648.974025
052770,아이톡시,1140,9.62,56.03774112
009420,한올바이오파마,52000,9.59,989.9558265
437730,삼현,70900,9.58,1668.059744
171090,선익시스템,49850,9.56,111.34950325
031980,피에스케이홀딩스,58000,9.43,437.8946075
049630,재영솔루텍,5870,9.31,931.9253606
127120,제이에스링크,19890,8.99,91.13146975
000670,영풍,53700,8.7,117.90663
022100,포스코DX,42000,8.67,4976.8424505
445680,큐리옥스바이오시스템즈,107000,8.63,131.76322
298020,효성티앤씨,288000,8.47,458.9702175
376900,로킷헬스케어,71800,8.46,923.6616555
006910,보성파워텍,5830,8.36,754.77605265
079960,동양이엔피,28850,8.26,62.7685395
012610,경인양행,5000,8.23,192.5940629
038460,바이오스마트,4320,8.14,174.57283326
314130,지놈앤컴퍼니,7000,7.86,125.1934023
066575,LG전자우,52500,7.58,190.379665
251630,브이원텍,6940,7.26,101.07299465
015750,성우하이텍,7580,7.06,728.91039025
466100,클로봇,67000,7.03,4894.832546
457550,우진엔텍,23400,6.85,196.98619875
290740,액트로,23750,6.74,135.894367
007860,서연,10670,6.59,265.15247105
034020,두산에너빌리티,95300,6.48,16869.92122
456160,지투지바이오,82800,6.43,4294.9919055
241520,DSC인베스트먼트,7630,6.42,341.6982789
145020,휴젤,242000,6.37,433.41587
420770,기가비스,46000,6.36,122.29664225
088340,유라클,14830,6.31,163.6465981
0015G0,그린광학,27800,6.31,811.8252485
215100,로보로보,8880,6.22,1215.88019705
217500,러셀,3260,6.19,540.07633938
452260,한화갤러리아,2235,6.18,3784.2284244
067290,JW신약,2070,6.15,300.59325235
005850,에스엘,50000,6.04,515.61809325
161580,필옵틱스,44500,5.95,238.66551975
032830,삼성생명,170600,5.83,1071.67286798
140860,파크시스템스,240000,5.73,230.5048075
187660,현대ADM,2505,5.7,60.71424867
338840,와이바이오로직스,26000,5.69,78.71814875
003490,대한항공,24300,5.65,3655.290916
130660,한전산업,11550,5.38,76.38366115
035510,신세계 I&C,16520,5.36,97.0166935
085660,차바이오텍,14890,5.23,365.72274485
0120G0,삼양바이오팜,62400,5.23,82.495518
463480,모티브링크,9680,5.22,186.74687055
089590,제주항공,5900,5.17,53.3735148
285490,노바텍,22600,5.12,88.533944
282330,BGF리테일,115200,5.01,140.356106
039860,나노엔텍,5500,4.96,127.2923446
044990,에이치엔에스하이텍,19300,4.89,70.1105417
0004V0,엔비알모션,20950,4.85,2063.48292585
051600,한전KPS,55500,4.72,419.1730355
066570,LG전자,98400,4.68,4631.6028695
476060,온코닉테라퓨틱스,20050,4.65,380.63330925
085910,네오티스,10880,4.62,53.60630205
094820,일진파워,13900,4.59,178.61600885
293580,나우IB,1558,4.56,51.46239967
00680K,미래에셋증권2우B,13070,4.48,200.27228785
006805,미래에셋증권우,16930,4.44,173.16436945
000720,현대건설,104300,4.4,3177.5065675
083650,비에이치아이,59400,4.39,1646.340879
073240,금호타이어,6100,4.27,71.27078375
476040,오가노이드사이언스,34500,4.23,65.2701915
089010,켐트로닉스,31450,4.14,152.23634775
005935,삼성전자우,111200,4.12,5186.32612472
044490,태웅,29200,4.1,103.27917475
000990,DB하이텍,85200,4.03,617.120793
208370,셀바스헬스케어,6200,4.03,264.1521953
298040,효성중공업,2333000,4.01,1685.44415
318060,그래피,35100,4.0,91.750238
000370,한화손해보험,5720,4.0,52.1894549
448710,코츠테크놀로지,19860,3.98,55.13532215
402340,SK스퀘어,446500,3.96,2202.605645
100790,미래에셋벤처투자,12810,3.81,222.671863
319400,현대무벡스,29000,3.76,1809.94507475
337930,젝시믹스,5250,3.75,50.29372755
138360,협진,1683,3.7,71.22960991
403870,HPSP,35750,3.62,1598.485246
013310,아진산업,3340,3.57,134.43945775
008350,남선알미늄,1252,3.56,191.74810222
234030,싸이닉솔루션,11750,3.52,726.85568175
005930,삼성전자,148900,3.47,44359.43361334
950160,코오롱티슈진,74700,3.46,421.901193
138610,나이벡,36200,3.43,94.21836075
003000,부광약품,3980,3.38,72.53081674
382900,범한퓨얼셀,32200,3.37,59.14147825
456070,이엔셀,16290,3.36,129.70257665
115180,큐리언트,29450,3.33,69.6396435
424870,이뮨온시아,11880,3.3,149.7032476
