종목코드,종목명,현재가,등락률,거래대금_억
012860,모베이스전자,5680,29.98,1559.92296131
45226K,한화갤러리아우,10470,29.9,548.6745168
348340,뉴로메카,71900,27.71,3162.2757375
004310,현대약품,13190,24.91,3425.35030505
056080,유진로봇,25550,18.84,2831.0158815
003310,대주산업,3885,17.55,653.76100642
032820,우리기술,4725,17.1,2835.90928504
200880,서연이화,16210,15.05,1178.61481235
090710,휴림로봇,12810,14.68,6941.8063217
010690,화신,9650,13.66,634.84013725
047040,대우건설,4500,13.35,952.97049335
014950,삼익제약,19340,12.97,1904.6866107
038500,삼표시멘트,5290,11.96,1005.80299401
052690,한전기술,126700,11.73,3308.8500225
010130,고려아연,1585000,10.22,2240.454815
196170,알테오젠,518000,10.1,11797.2529025
000250,삼천당제약,279000,10.06,1648.974025
009420,한올바이오파마,52000,9.59,989.9558265
437730,삼현,70900,9.58,1668.059744
049630,재영솔루텍,5870,9.31,931.9253606
022100,포스코DX,42000,8.67,4976.8424505
376900,로킷헬스케어,71800,8.46,923.6616555
006910,보성파워텍,5830,8.36,754.77605265
015750,성우하이텍,7580,7.06,728.91039025
466100,클로봇,67000,7.03,4894.832546
034020,두산에너빌리티,95300,6.48,16869.92122
456160,지투지바이오,82800,6.43,4294.9919055
0015G0,그린광학,27800,6.31,811.8252485
215100,로보로보,8880,6.22,1215.88019705
217500,러셀,3260,6.19,540.07633938
452260,한화갤러리아,2235,6.18,3784.2284244
005850,에스엘,50000,6.04,515.61809325
032830,삼성생명,170600,5.83,1071.67286798
003490,대한항공,24300,5.65,3655.290916
0004V0,엔비알모션,20950,4.85,2063.48292585
066570,LG전자,98400,4.68,4631.6028695
000720,현대건설,104300,4.4,3177.5065675
083650,비에이치아이,59400,4.39,1646.340879
005935,삼성전자우,111200,4.12,5186.32612472
000990,DB하이텍,85200,4.03,617.120793
298040,효성중공업,2333000,4.01,1685.44415
402340,SK스퀘어,446500,3.96,2202.605645
319400,현대무벡스,29000,3.76,1809.94507475
403870,HPSP,35750,3.62,1598.485246
234030,싸이닉솔루션,11750,3.52,726.85568175
005930,삼성전자,148900,3.47,44359.43361334
071050,한국금융지주,182700,3.22,544.3615315
003550,LG,87500,3.18,853.775631
018260,삼성에스디에스,180000,2.92,667.595677
204320,HL만도,64200,2.72,2719.3418575
298380,에이비엘바이오,197500,2.54,2896.6974655
353200,대덕전자,51800,2.37,933.8858855
141080,리가켐바이오,166800,2.33,984.95818
000810,삼성화재,486500,2.31,815.11000103
034220,LG디스플레이,12520,2.29,598.5426613
475830,오름테라퓨틱,121800,2.27,694.184244
005385,현대차우,271000,2.07,1410.5806525
101330,모베이스,7620,1.87,2071.6452662
015760,한국전력,54700,1.67,1855.97737725
267260,HD현대일렉트릭,906000,1.57,1256.43277
006800,미래에셋증권,31200,1.46,1823.47131975
028260,삼성물산,290000,1.4,805.96200106
090360,로보스타,79600,1.4,790.8935785
010120,LS ELECTRIC,533000,1.33,974.24489
005387,현대차2우B,273500,1.3,1524.844335
278470,에이피알,240500,1.26,1086.0528275
226950,올릭스,137700,1.03,696.3772365
000660,SK하이닉스,756000,0.93,28001.48676108
105560,KB금융,130900,0.61,969.7530835
476830,알지노믹스,156900,0.58,827.384961
012450,한화에어로스페이스,1299000,0.39,3782.19434928
098460,고영,28400,0.35,1146.25526625
030530,원익홀딩스,42500,0.24,1106.15871525
086790,하나금융지주,96400,0.21,649.8359285
347850,디앤디파마텍,92500,0.11,1855.0508585
