종목명,종목코드,거래대금(억),시가갭(%),당일고가(%),현재가,종가형태
삼성전자,005930,44359,0.97,3.89,148900,양봉
SK하이닉스,000660,28001,0.27,1.87,756000,양봉
삼성전자우,005935,5186,0.84,4.4,111200,양봉
현대차,005380,10820,1.07,1.07,413000,음봉
한화에어로스페이스,012450,3782,1.08,1.93,1299000,음봉
두산에너빌리티,034020,16869,0.67,7.71,95300,양봉
기아,000270,4054,3.61,4.59,151100,음봉
SK스퀘어,402340,2202,0.23,5.24,446500,양봉
한화오션,042660,3202,0.6,1.48,147000,음봉
현대모비스,012330,2838,-0.33,-0.22,431000,음봉
NAVER,035420,4654,0.4,0.4,245500,음봉
고려아연,010130,2240,4.38,11.06,1585000,양봉
알테오젠,196170,11797,-3.72,12.43,518000,양봉
POSCO홀딩스,005490,3685,0.57,0.71,331500,음봉
삼성중공업,010140,2287,0.66,0.83,29750,음봉
한화시스템,272210,3370,-1.35,-0.21,90900,음봉
한미반도체,042700,2314,3.17,3.17,178500,음봉
LG전자,066570,4631,1.17,10.32,98400,양봉
한국항공우주,047810,2303,-0.84,-0.78,155900,음봉
현대건설,000720,3177,-0.3,6.01,104300,양봉
에이비엘바이오,298380,2896,-1.87,4.88,197500,양봉
레인보우로보틱스,277810,2095,-1.35,-0.96,493000,음봉
한화,000880,2300,-1.61,-1.39,124600,음봉
대한항공,003490,3655,1.74,8.91,24300,양봉
LG씨엔에스,064400,3613,9.4,11.89,68000,음봉
포스코DX,022100,4976,9.18,12.16,42000,음봉
한전기술,052690,3308,1.23,13.76,126700,양봉
HL만도,204320,2719,2.56,9.28,64200,양봉
클로봇,466100,4894,13.26,18.21,67000,음봉
휴림로봇,090710,6941,3.13,22.56,12810,양봉
지투지바이오,456160,4294,-3.73,16.2,82800,양봉
유진로봇,056080,2831,5.58,27.21,25550,양봉
뉴로메카,348340,3162,1.24,29.84,71900,양봉
우리기술,032820,2835,-0.12,22.8,4725,양봉
현대약품,004310,3425,7.29,29.92,13190,양봉
모베이스,101330,2071,17.11,22.19,7620,음봉
